miteorigin,sp,year,bl,sex,origin,bodysize,Species,num,hunum,invnum,intnum,sum,p,vesp,hup,invp,intp,newcomp,totalp
W,ves,2017,87,m,M,7.95,hu,0,0,0,0,9,0,1,0,0,0,0,0.9
W,ves,2017,88,m,M,8.14,hu,0,0,0,1,9,0,0.888888889,0,0,0.111111111,0,0.9
G,ves,2017,89,m,T,6.41,hu,0,0,2,2,8,0,0.5,0,0.25,0.25,0,0.8
G,ves,2017,90,m,M,6.63,hu,2,2,0,3,10,0.2,0.5,0.2,0,0.3,0,1
G,ves,2017,91,f,M,6.36,hu,0,0,0,2,9,0,0.777777778,0,0,0.222222222,0,0.9
G,ves,2017,92,m,M,6.63,hu,0,0,0,3,9,0,0.666666667,0,0,0.333333333,0,0.9
G,ves,2017,93,m,G,6.38,hu,0,0,0,6,9,0,0.333333333,0,0,0.666666667,0,0.9
W,hu,2017,94,m,M,7.52,hu,1,1,0,7,10,0.1,0.2,0.1,0,0.7,1,1
G,hu,2017,95,m,W,6.38,hu,2,2,0,4,7,0.285714286,0.142857143,0.285714286,0,0.571428571,1,0.7
G,inv,2017,96,m,G,5.52,hu,0,0,6,3,10,0,0.1,0,0.6,0.3,0,1
G,inv,2017,1,m,T,5.85,inv,4,2,4,1,10,0.4,0.3,0.2,0.4,0.1,1,1
G,inv,2017,2,f,T,6.36,inv,1,3,1,3,7,0.142857143,0,0.428571429,0.142857143,0.428571429,1,0.7
G,inv,2017,3,f,T,5.72,inv,3,0,3,6,10,0.3,0.1,0,0.3,0.6,1,1
G,inv,2017,4,f,T,5.5,inv,0,3,0,6,9,0,0,0.333333333,0,0.666666667,1,0.9
G,inv,2017,5,m,T,5.49,inv,0,3,0,5,8,0,0,0.375,0,0.625,1,0.8
G,inv,2017,6,m,T,6.09,inv,1,0,1,5,9,0.111111111,0.333333333,0,0.111111111,0.555555556,1,0.9
G,inv,2017,7,f,G,6.03,inv,0,3,0,1,8,0,0.5,0.375,0,0.125,1,0.8
G,int,2017,8,m,G,6.46,inv,0,0,0,3,7,0,0.571428571,0,0,0.428571429,0,0.7
G,int,2017,9,f,G,6.16,inv,0,1,0,6,7,0,0,0.142857143,0,0.857142857,0,0.7
G,int,2017,10,f,G,6.86,inv,1,0,1,4,7,0.142857143,0.285714286,0,0.142857143,0.571428571,0,0.7
G,int,2017,12,m,T,5.72,inv,2,0,2,6,10,0.2,0.2,0,0.2,0.6,0,1
G,int,2017,13,m,T,6.1,inv,0,3,0,4,8,0,0.125,0.375,0,0.5,0,0.8
G,inv,2017,14,f,T,5.72,inv,2,4,2,0,10,0.2,0.4,0.4,0.2,0,1,1
G,inv,2017,15,m,T,6.1,inv,2,0,2,2,9,0.222222222,0.555555556,0,0.222222222,0.222222222,1,0.9
G,int,2017,16,m,T,5.85,inv,1,0,1,5,10,0.1,0.4,0,0.1,0.5,0,1
G,int,2017,17,m,T,6.13,inv,0,0,0,5,10,0,0.5,0,0,0.5,0,1
G,int,2017,18,m,T,6.09,inv,0,2,0,2,10,0,0.6,0.2,0,0.2,0,1
G,int,2017,19,f,T,5.5,inv,0,0,0,7,10,0,0.3,0,0,0.7,0,1
G,int,2017,20,f,T,6.36,inv,1,1,1,4,9,0.111111111,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,21,m,T,5.68,inv,2,6,2,1,9,0.222222222,0,0.666666667,0.222222222,0.111111111,0,0.9
G,hu,2017,22,m,T,5.05,inv,0,5,0,2,10,0,0.3,0.5,0,0.2,0,1
G,hu,2017,23,m,T,5.83,inv,0,2,0,5,10,0,0.3,0.2,0,0.5,0,1
G,hu,2017,24,f,T,6.87,inv,0,2,0,4,10,0,0.4,0.2,0,0.4,0,1
G,hu,2017,25,f,G,6.03,inv,0,1,0,5,6,0,0,0.166666667,0,0.833333333,0,0.6
G,hu,2017,26,m,T,5.72,inv,1,1,1,4,9,0.111111111,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,27,m,T,5.49,inv,0,5,0,3,10,0,0.2,0.5,0,0.3,0,1
G,hu,2017,28,f,G,6.86,inv,0,8,0,2,10,0,0,0.8,0,0.2,0,1
G,hu,2017,29,f,T,5.5,inv,0,5,0,3,8,0,0,0.625,0,0.375,0,0.8
G,hu,2017,30,f,T,5.72,inv,1,3,1,5,10,0.1,0.1,0.3,0.1,0.5,0,1
W,inv,2017,31,m,G,6.79,inv,0,0,0,8,9,0,0.111111111,0,0,0.888888889,1,0.9
W,inv,2017,32,m,T,5.19,inv,0,0,0,10,10,0,0,0,0,1,1,1
W,inv,2017,33,m,G,6.21,inv,0,0,0,0,10,0,1,0,0,0,1,1
W,inv,2017,35,f,T,6.58,inv,3,2,3,1,9,0.333333333,0.333333333,0.222222222,0.333333333,0.111111111,1,0.9
W,inv,2017,36,f,G,6.16,inv,2,2,2,0,9,0.222222222,0.555555556,0.222222222,0.222222222,0,1,0.9
W,int,2017,37,m,T,6.1,inv,3,0,3,0,10,0.3,0.7,0,0.3,0,0,1
W,int,2017,38,m,T,5.85,inv,0,0,0,2,9,0,0.777777778,0,0,0.222222222,0,0.9
W,int,2017,39,m,T,5.05,inv,0,0,0,1,10,0,0.9,0,0,0.1,0,1
W,int,2017,40,m,W,6.04,inv,0,0,0,0,9,0,1,0,0,0,0,0.9
W,int,2017,41,f,T,6.87,inv,1,0,1,0,9,0.111111111,0.888888889,0,0.111111111,0,0,0.9
W,int,2017,43,m,T,5.68,inv,4,0,4,6,10,0.4,0,0,0.4,0.6,0,1
W,hu,2017,44,m,T,6.13,inv,0,0,0,0,10,0,1,0,0,0,0,1
W,hu,2017,45,f,T,6.36,inv,2,0,2,3,10,0.2,0.5,0,0.2,0.3,0,1
W,hu,2017,46,f,G,6.25,inv,0,0,0,3,10,0,0.7,0,0,0.3,0,1
W,hu,2017,47,f,G,6.03,inv,4,0,4,0,10,0.4,0.6,0,0.4,0,0,1
W,hu,2017,48,f,G,6.86,inv,0,0,0,2,10,0,0.8,0,0,0.2,0,1
W,hu,2017,49,m,T,5.72,inv,0,0,0,8,10,0,0.2,0,0,0.8,0,1
W,hu,2017,50,m,T,5.83,inv,1,0,1,3,10,0.1,0.6,0,0.1,0.3,0,1
W,int,2017,51,m,T,6.09,inv,6,1,6,0,9,0.666666667,0.222222222,0.111111111,0.666666667,0,0,0.9
W,hu,2017,52,f,T,6.58,inv,9,0,9,0,9,1,0,0,1,0,0,0.9
W,hu,2017,53,f,T,5.5,inv,4,0,4,2,7,0.571428571,0.142857143,0,0.571428571,0.285714286,0,0.7
W,hu,2017,54,f,T,5.72,inv,1,0,1,1,10,0.1,0.8,0,0.1,0.1,0,1
W,inv,2017,55,f,T,6.87,inv,0,0,0,0,9,0,1,0,0,0,1,0.9
W,inv,2017,56,m,W,6.04,inv,2,0,2,0,10,0.2,0.8,0,0.2,0,1,1
W,inv,2017,57,m,G,6.79,inv,0,0,0,1,9,0,0.888888889,0,0,0.111111111,1,0.9
W,inv,2017,58,m,G,6.21,inv,6,0,6,3,9,0.666666667,0,0,0.666666667,0.333333333,1,0.9
W,inv,2017,59,m,T,6.1,inv,1,0,1,9,10,0.1,0,0,0.1,0.9,1,1
W,inv,2017,60,m,T,5.19,inv,0,3,0,2,10,0,0.5,0.3,0,0.2,1,1
W,int,2017,61,f,G,6.15,inv,2,0,2,2,10,0.2,0.6,0,0.2,0.2,0,1
W,int,2017,62,m,T,5.05,inv,0,0,0,1,9,0,0.888888889,0,0,0.111111111,0,0.9
W,int,2017,63,m,T,5.68,inv,4,0,4,0,9,0.444444444,0.555555556,0,0.444444444,0,0,0.9
G,inv,2017,64,f,g,6.16,inv,1,0,1,4,9,0.111111111,0.444444444,0,0.111111111,0.444444444,1,0.9
G,inv,2017,65,f,T,6.36,inv,0,0,0,5,7,0,0.285714286,0,0,0.714285714,1,0.7
G,inv,2017,66,m,T,6.13,inv,0,1,0,4,9,0,0.444444444,0.111111111,0,0.444444444,1,0.9
G,hu,2017,67,f,G,6.86,inv,0,2,0,5,9,0,0.222222222,0.222222222,0,0.555555556,0,0.9
G,hu,2017,68,f,G,6.03,inv,0,6,0,2,8,0,0,0.75,0,0.25,0,0.8
G,hu,2017,69,f,G,6.25,inv,0,1,0,9,10,0,0,0.1,0,0.9,0,1
G,int,2017,70,m,T,6.26,inv,0,1,0,7,9,0,0.111111111,0.111111111,0,0.777777778,0,0.9
G,int,2017,71,m,T,6.09,inv,0,0,0,7,10,0,0.3,0,0,0.7,0,1
G,int,2017,72,m,T,5.83,inv,0,1,0,7,9,0,0.111111111,0.111111111,0,0.777777778,0,0.9
G,int,2017,73,m,T,5.72,inv,1,2,1,2,10,0.1,0.5,0.2,0.1,0.2,0,1
W,ves,2017,74,m,W,6.04,inv,0,1,0,5,10,0,0.4,0.1,0,0.5,0,1
W,ves,2017,75,f,T,6.39,inv,0,1,0,2,8,0,0.625,0.125,0,0.25,0,0.8
W,ves,2017,76,m,T,5.72,inv,0,0,0,2,9,0,0.777777778,0,0,0.222222222,0,0.9
W,ves,2017,77,m,T,6.13,inv,0,0,0,1,9,0,0.888888889,0,0,0.111111111,0,0.9
G,ves,2017,78,m,T,5.49,inv,1,0,1,2,10,0.1,0.7,0,0.1,0.2,0,1
G,ves,2017,79,m,T,6.09,inv,0,0,0,3,10,0,0.7,0,0,0.3,0,1
G,ves,2017,80,m,T,6.26,inv,0,0,0,5,9,0,0.444444444,0,0,0.555555556,0,0.9
G,ves,2017,81,m,T,6.1,inv,1,0,1,2,6,0.166666667,0.5,0,0.166666667,0.333333333,0,0.6
G,ves,2017,82,m,T,5.05,inv,0,0,0,0,10,0,1,0,0,0,0,1
W,ves,2017,83,m,T,6.13,inv,0,0,0,0,10,0,1,0,0,0,0,1
W,ves,2017,84,m,W,6.04,inv,0,0,0,0,7,0,1,0,0,0,0,0.7
W,ves,2017,85,m,T,5.49,inv,0,0,0,0,9,0,1,0,0,0,0,0.9
W,ves,2017,86,m,T,6.42,inv,3,0,3,0,9,0.333333333,0.666666667,0,0.333333333,0,0,0.9
W,ves,2017,87,m,T,5.05,inv,0,0,0,0,9,0,1,0,0,0,0,0.9
W,ves,2017,88,m,T,6.1,inv,0,0,0,1,9,0,0.888888889,0,0,0.111111111,0,0.9
G,ves,2017,89,m,T,5.72,inv,2,0,2,2,8,0.25,0.5,0,0.25,0.25,0,0.8
G,ves,2017,90,m,T,6.26,inv,0,2,0,3,10,0,0.5,0.2,0,0.3,0,1
G,ves,2017,91,f,T,6.39,inv,0,0,0,2,9,0,0.777777778,0,0,0.222222222,0,0.9
G,ves,2017,92,m,W,6.04,inv,0,0,0,3,9,0,0.666666667,0,0,0.333333333,0,0.9
G,ves,2017,93,m,T,6.13,inv,0,0,0,6,9,0,0.333333333,0,0,0.666666667,0,0.9
W,hu,2017,94,m,T,6.26,inv,0,1,0,7,10,0,0.2,0.1,0,0.7,0,1
G,hu,2017,95,m,T,6.1,inv,0,2,0,4,7,0,0.142857143,0.285714286,0,0.571428571,0,0.7
G,inv,2017,96,m,T,6.42,inv,6,0,6,3,10,0.6,0.1,0,0.6,0.3,1,1
G,inv,2017,1,m,M,5.4,int,1,2,4,1,10,0.1,0.3,0.2,0.4,0.1,0,1
G,inv,2017,2,f,G,6.37,int,3,3,1,3,7,0.428571429,0,0.428571429,0.142857143,0.428571429,0,0.7
G,inv,2017,3,f,W,5.8,int,6,0,3,6,10,0.6,0.1,0,0.3,0.6,0,1
G,inv,2017,4,f,W,5.31,int,6,3,0,6,9,0.666666667,0,0.333333333,0,0.666666667,0,0.9
G,inv,2017,5,m,W,6.04,int,5,3,0,5,8,0.625,0,0.375,0,0.625,0,0.8
G,inv,2017,6,m,W,5.08,int,5,0,1,5,9,0.555555556,0.333333333,0,0.111111111,0.555555556,0,0.9
G,inv,2017,7,f,G,4.87,int,1,3,0,1,8,0.125,0.5,0.375,0,0.125,0,0.8
G,int,2017,8,m,G,6.28,int,3,0,0,3,7,0.428571429,0.571428571,0,0,0.428571429,1,0.7
G,int,2017,9,f,G,6.28,int,6,1,0,6,7,0.857142857,0,0.142857143,0,0.857142857,1,0.7
G,int,2017,10,f,G,5.07,int,4,0,1,4,7,0.571428571,0.285714286,0,0.142857143,0.571428571,1,0.7
G,int,2017,12,m,W,6.55,int,6,0,2,6,10,0.6,0.2,0,0.2,0.6,1,1
G,int,2017,13,m,G,6.82,int,4,3,0,4,8,0.5,0.125,0.375,0,0.5,1,0.8
G,inv,2017,14,f,G,4.87,int,0,4,2,0,10,0,0.4,0.4,0.2,0,0,1
G,inv,2017,15,m,G,6.28,int,2,0,2,2,9,0.222222222,0.555555556,0,0.222222222,0.222222222,0,0.9
G,int,2017,16,m,W,6.04,int,5,0,1,5,10,0.5,0.4,0,0.1,0.5,1,1
G,int,2017,17,m,W,6.55,int,5,0,0,5,10,0.5,0.5,0,0,0.5,1,1
G,int,2017,18,m,M,5.4,int,2,2,0,2,10,0.2,0.6,0.2,0,0.2,1,1
G,int,2017,19,f,G,6.37,int,7,0,0,7,10,0.7,0.3,0,0,0.7,1,1
G,int,2017,20,f,W,5.8,int,4,1,1,4,9,0.444444444,0.333333333,0.111111111,0.111111111,0.444444444,1,0.9
G,hu,2017,21,m,M,6.96,int,1,6,2,1,9,0.111111111,0,0.666666667,0.222222222,0.111111111,0,0.9
G,hu,2017,22,m,G,6.82,int,2,5,0,2,10,0.2,0.3,0.5,0,0.2,0,1
G,hu,2017,23,m,M,4.9,int,5,2,0,5,10,0.5,0.3,0.2,0,0.5,0,1
G,hu,2017,24,f,G,5.07,int,4,2,0,4,10,0.4,0.4,0.2,0,0.4,0,1
G,hu,2017,25,f,G,6.28,int,5,1,0,5,6,0.833333333,0,0.166666667,0,0.833333333,0,0.6
G,hu,2017,26,m,G,5.72,int,4,1,1,4,9,0.444444444,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,27,m,W,5.08,int,3,5,0,3,10,0.3,0.2,0.5,0,0.3,0,1
G,hu,2017,28,f,W,5.31,int,2,8,0,2,10,0.2,0,0.8,0,0.2,0,1
G,hu,2017,29,f,G,5.07,int,3,5,0,3,8,0.375,0,0.625,0,0.375,0,0.8
G,hu,2017,30,f,G,5.37,int,5,3,1,5,10,0.5,0.1,0.3,0.1,0.5,0,1
W,inv,2017,31,m,M,5.81,int,8,0,0,8,9,0.888888889,0.111111111,0,0,0.888888889,0,0.9
W,inv,2017,32,m,M,6.31,int,10,0,0,10,10,1,0,0,0,1,0,1
W,inv,2017,33,m,M,5.01,int,0,0,0,0,10,0,1,0,0,0,0,1
W,inv,2017,35,f,M,6.06,int,1,2,3,1,9,0.111111111,0.333333333,0.222222222,0.333333333,0.111111111,0,0.9
W,inv,2017,36,f,M,6.31,int,0,2,2,0,9,0,0.555555556,0.222222222,0.222222222,0,0,0.9
W,int,2017,37,m,M,6.96,int,0,0,3,0,10,0,0.7,0,0.3,0,1,1
W,int,2017,38,m,M,5.6,int,2,0,0,2,9,0.222222222,0.777777778,0,0,0.222222222,1,0.9
W,int,2017,39,m,G,6.28,int,1,0,0,1,10,0.1,0.9,0,0,0.1,1,1
W,int,2017,40,m,M,4.9,int,0,0,0,0,9,0,1,0,0,0,1,0.9
W,int,2017,41,f,W,5.8,int,0,0,1,0,9,0,0.888888889,0,0.111111111,0,1,0.9
W,int,2017,43,m,W,6.55,int,6,0,4,6,10,0.6,0,0,0.4,0.6,1,1
W,hu,2017,44,m,G,5.72,int,0,0,0,0,10,0,1,0,0,0,0,1
W,hu,2017,45,f,G,4.87,int,3,0,2,3,10,0.3,0.5,0,0.2,0.3,0,1
W,hu,2017,46,f,G,6.28,int,3,0,0,3,10,0.3,0.7,0,0,0.3,0,1
W,hu,2017,47,f,W,5.31,int,0,0,4,0,10,0,0.6,0,0.4,0,0,1
W,hu,2017,48,f,G,6.19,int,2,0,0,2,10,0.2,0.8,0,0,0.2,0,1
W,hu,2017,49,m,M,5.57,int,8,0,0,8,10,0.8,0.2,0,0,0.8,0,1
W,hu,2017,50,m,W,5.08,int,3,0,1,3,10,0.3,0.6,0,0.1,0.3,0,1
W,int,2017,51,m,G,6.82,int,0,1,6,0,9,0,0.222222222,0.111111111,0.666666667,0,1,0.9
W,hu,2017,52,f,M,6.31,int,0,0,9,0,9,0,0,0,1,0,0,0.9
W,hu,2017,53,f,M,5.35,int,2,0,4,2,7,0.285714286,0.142857143,0,0.571428571,0.285714286,0,0.7
W,hu,2017,54,f,G,5.07,int,1,0,1,1,10,0.1,0.8,0,0.1,0.1,0,1
W,inv,2017,55,f,G,6.37,int,0,0,0,0,9,0,1,0,0,0,0,0.9
W,inv,2017,56,m,M,5.4,int,0,0,2,0,10,0,0.8,0,0.2,0,0,1
W,inv,2017,57,m,M,6.31,int,1,0,0,1,9,0.111111111,0.888888889,0,0,0.111111111,0,0.9
W,inv,2017,58,m,M,6.96,int,3,0,6,3,9,0.333333333,0,0,0.666666667,0.333333333,0,0.9
W,inv,2017,59,m,M,5.01,int,9,0,1,9,10,0.9,0,0,0.1,0.9,0,1
W,inv,2017,60,m,M,5.81,int,2,3,0,2,10,0.2,0.5,0.3,0,0.2,0,1
W,int,2017,61,f,G,4.87,int,2,0,2,2,10,0.2,0.6,0,0.2,0.2,1,1
W,int,2017,62,m,M,4.9,int,1,0,0,1,9,0.111111111,0.888888889,0,0,0.111111111,1,0.9
W,int,2017,63,m,G,6.28,int,0,0,4,0,9,0,0.555555556,0,0.444444444,0,1,0.9
G,inv,2017,64,f,G,6.28,int,4,0,1,4,9,0.444444444,0.444444444,0,0.111111111,0.444444444,0,0.9
G,inv,2017,65,f,W,5.8,int,5,0,0,5,7,0.714285714,0.285714286,0,0,0.714285714,0,0.7
G,inv,2017,66,m,T,5.85,int,4,1,0,4,9,0.444444444,0.444444444,0.111111111,0,0.444444444,0,0.9
G,hu,2017,67,f,M,6.06,int,5,2,0,5,9,0.555555556,0.222222222,0.222222222,0,0.555555556,0,0.9
G,hu,2017,68,f,W,5.31,int,2,6,0,2,8,0.25,0,0.75,0,0.25,0,0.8
G,hu,2017,69,f,G,6.19,int,9,1,0,9,10,0.9,0,0.1,0,0.9,0,1
G,int,2017,70,m,W,5.08,int,7,1,0,7,9,0.777777778,0.111111111,0.111111111,0,0.777777778,1,0.9
G,int,2017,71,m,M,5.57,int,7,0,0,7,10,0.7,0.3,0,0,0.7,1,1
G,int,2017,72,m,G,5.72,int,7,1,0,7,9,0.777777778,0.111111111,0.111111111,0,0.777777778,1,0.9
G,int,2017,73,m,W,6.55,int,2,2,1,2,10,0.2,0.5,0.2,0.1,0.2,1,1
W,ves,2017,74,m,M,6.31,int,5,1,0,5,10,0.5,0.4,0.1,0,0.5,0,1
W,ves,2017,75,f,W,5.8,int,2,1,0,2,8,0.25,0.625,0.125,0,0.25,0,0.8
W,ves,2017,76,m,M,6.96,int,2,0,0,2,9,0.222222222,0.777777778,0,0,0.222222222,0,0.9
W,ves,2017,77,m,T,5.85,int,1,0,0,1,9,0.111111111,0.888888889,0,0,0.111111111,0,0.9
